ability_id,original_ability,side,supply_occurrences,supply_file_count,demand_occurrences,demand_record_count,supply_evidence_sample,demand_evidence_sample,demand_job_sample
96,工程伦理与职业规范意识,supply,3,3,0,0,毕业要求7：具有工程报国、工程为民的意识，遵守工程职业道德、规范及相关法律，自觉履行责任。 | 毕业生能力要求：职业规范，理解并遵守工程职业道德和规范；专业知识课程：计算机工程伦理。 | 毕业要求指标点中工程与社会、职业规范由思想道德与法治、马克思主义基本原理等课程支撑。,,
97,工程实践与项目管理能力,supply,3,3,0,0,培养方案强调工程实践，实行双导师制，专业实践不少于6个月或1年，要求独立担负工程规划、设计、实施、管理等专门技术工作。 | 表5包含专业综合实习、毕业实习及毕业论文，表3限选工程项目管理，培养工程实践与项目管理能力。 | 实践环节包括船舶实习、工程项目管理实践、金工实习、毕业实习及毕业论文等；毕业要求包含项目管理、工程与社会等。,,
98,接收站现场工艺操作能力,demand,0,0,3,3,,负责接收站现场设备操作和工艺操作；负责按时巡检，及时了解设备的运行情况、调整设备的运行方式、调节设备的运行参数 | 负责接收站现场设备操作和工艺操作；负责按时巡检，了解设备的运行情况、调整运行方式、调节参数；严格执行两票三制，办理检修工作票和执行操作票,运行岗（现场操作员） | 运行岗
99,救助与打捞工程能力,supply,3,1,0,0,开设救捞工程案例分析、救捞模拟训练、救助与打捞工程课程设计、GHS打捞工程计算、救捞创新实践等课程。 | 毕业要求1-4：能够将相关知识和数学模型方法用于专业工程问题解决方案的比较与综合；核心课程：救助工程、打捞工程、海洋工程。 | 特色课程包括救助工程、打捞工程、潜水技术基础、救捞应急管理、工程项目管理等；毕业要求涵盖全周期设计、项目管理。,,
100,数学基础理论与方法能力,supply,3,3,0,0,具有扎实的数学基础知识和专业知识，掌握必备的数学研究方法；专业核心课程包含数学分析、高等代数、空间解析几何、常微分方程等。 | 掌握数学与应用数学的基本理论与方法；具有扎实的数学基础知识和专业知识，掌握必备的数学研究方法 | 具有扎实的数学基础知识和专业知识，掌握必备的数学研究方法。涵盖数学分析、高等代数、解析几何、复变函数、实变函数、常微分方程等核心课程。,,
101,文献检索与科技写作能力,supply,3,3,0,0,掌握文献检索、资料查询和综述的基本方法；具备撰写项目方案、可行性报告和设计课题的基本能力；掌握中外文资料查询、文献检索以及运用现代信息技术获得相关信息的基本方法... | 文献检索与科技论文写作课程，掌握专业文献检索及现代化技术获取专业信息的方法（课程及毕业要求8） | 掌握资料查询、文献检索、运用现代信息技术获取信息和论文写作的能力（能力要求）,,
102,机械设计制造能力,supply,3,3,0,0,培养具有机械设计制造工程实践能力以及解决机械设计制造及其自动化领域复杂工程问题的能力，核心课程包括机械原理、机械设计、机械制造技术等。 | 具备机械设计原理与方法、机械制造工程原理与技术等基础知识及应用能力，能够在机械设计制造及自动化领域从事产品设计、制造、科学研究、技术开发与生产管理。 | 开设机械设计课程设计、金工实习、画法几何及机械制图、机械设计、机械原理等课程。,,
103,水产养殖技术服务能力,demand,0,0,3,3,,曾有从事动保技术服务工作经验；具备技术培训能力 | 负责市场和养户养殖模式的研究分析，并提出优化方案；负责客户养殖技术的支持和指导；负责产品与养殖模式匹配研究 | 为养殖户提供专业的塘头技术服务，推广通威养殖模式，动保及饲料产品推广。,助理技术服务工程师 | 水产技术服务工程师 (MJ004036) | 水产技术服务推广
104,水产增养殖技术能力,supply,3,3,0,0,掌握水产经济动植物增养殖技术，具备水产饲料研发、病害防治、水产生物育种及渔业水域环境调控等方面的基本能力。核心课程包括鱼类增养殖学、贝类与甲壳动物增养殖学、生物... | 系统掌握水产经济动物和植物的增养殖技术、营养与饲料、病害防控、育种以及海洋牧场管理等现代渔业知识和技能。核心课程包括鱼类增养殖学、水产动物营养与饲料学、水产动物... | 课程：鱼类增养殖学、甲壳动物增养殖学A；专业课组,,
105,水运工程设计能力,demand,0,0,3,3,,能熟练运用AUTOCAD制图软件、理正岩土结构软件；具备一定的水文或数模或结构计算能力 | 作为专业技术负责人主持过水运行业中型及以上设计项目3项，其中大型项目至少1项，至少包含港口工程、航道工程、通航建筑工程、修造船厂水工工程4种类型中的2类。 | 从事工程设计实践10年以上，且作为专业技术负责人主持过水运行业中型及以上设计项目3项，其中大型项目至少1项，至少包含港口工程、航道工程、通航建筑工程、修造船厂水...,水运设计员 | 工程测量工程师 | 装卸机械工艺工程师
106,海上执法与法律应用能力,supply,3,1,0,0,限选课包括海洋法、海域使用管理法、海上行政执法、法理学。 | 限选课程包括法理学、海洋法、海域使用管理法、海上行政执法等海上执法模块课程。,,
107,海上风电安全防控能力,demand,0,0,3,3,,搭建风电安全管理规范，对工程运维船舶重点防控；编制工程施工安全生产计划方案（应急预案、抗台等）,区域安全专责（陕宁） | 区域安全专责（广西） | 安全专责（阳江）
108,海上风电现场安全管理能力,demand,0,0,3,3,,定期到项目现场检查，记录并签署安全整改意见和处理办法；严格监督各项安全管理制度、安全技术措施及操作规程的执行情况,区域安全专责（陕宁） | 区域安全专责（广西） | 安全专责（阳江）
109,海上风电项目安全管理能力,demand,0,0,3,3,,负责对各参建单位的安全管理工作进行监督，检查施工现场安全文明施工情况、督促各单位“三同时”落实到位 | 5年以上项目安全工作经验，其中海上风电项目不少于3年以上工作经验；2个以上海上风电项目安全管理工作经验，有独立负责项目安全管理经验,工程管理部工程管理人员（阳江） | 工程管理部工程管理人员 | 项目安全总监（海上风电）
110,海上风电项目施工管理能力,demand,0,0,3,3,,负责对项目现场及监理单位、施工单位等参建单位进行管理、组织与协调，解决施工中出现的安全、质量、进度等方面问题 | 负责项目施工生产的管理、协调与质量管理工作；执行项目施工组织设计和施工方案；具有3年以上工程项目施工或管理工作经验，拥有海上风电、光伏等新能源相关项目施工或管理...,工程管理部工程管理人员（阳江） | 工程管理部工程管理人员 | 电建海工公司项目管理及施工技术人员
111,海工工程施工管理能力,demand,0,0,3,3,,主要负责冷源改造相关的海工工程施工管理工作。负责项目专业范围内的施工进度、质量、成本、安全控制及施工监督、协调工作。 | 负责防波堤、护岸、码头、围堰等海工工程施工管理工作；五年及以上海工/水工施工管理经验 | 负责防波堤、护岸、码头、围堰等海工工程施工管理工作；依据施工计划，安排、指导、监督施工队进行工程施工；组织工程质量验收和旁站,土建主管工程师 | 海工 | 水工工程师
112,海洋声学技术能力,supply,3,3,0,0,核心课程：海洋声学基础、声呐系统原理及应用、海洋水声测量技术、水声通信、声呐系统实验。 | 必修海洋声学课程，掌握声学探测原理及在海洋技术中的应用。 | 设有海洋声学技术模块，核心课程包括声学基础、水声学原理、声学测量、海洋探测与数据处理等，实践环节有声学基础实验、水声专业实验。,,
113,海洋生物学基础能力,supply,3,3,0,0,生物海洋学、海洋生态学、普通生物学、生物化学等课程，以及生物海洋学实习 | 微生物学、生物化学、分子生物学、海洋资源生物学 | 海洋生物学课程提供海洋生物基础知识。,,
114,海洋科学研究与创新能力,supply,3,3,0,0,名师导学、物理海洋学前沿、海洋生态与生物前沿、极地气候变化等前沿课程，以及创新创业训练 | 专业综合能力和创新能力：能够对本学科领域的复杂问题进行综合分析并提出科学的解决方案。课程包括海洋科学前沿（全英文）、创新创业训练。 | 具有初步的科学研究能力，能够综合运用地质学、海洋科学的理论和方法，对复杂科学问题进行研究，并得到合理有效的结论。,,
115,港口工程项目管理能力,demand,0,0,3,3,,制订公司工程项目管理制度及标准；负责工程设计管理与施工进度计划管理；组织并参与各类现场材料设备进场验收、安全检查、质量验收工作；配合完成码头一期工程和铁路进港线... | 制订公司工程项目管理制度及标准；建立现场施工管理规范与制度，督促监理单位与承包单位做好施工质量、安全管理工作；负责工程设计管理与施工进度计划管理 | 必须持有机电专业或港航专业或市政专业一级建造师证；6年以上工作经历，主持过港口类或散物料输送类或市政类项目工作,工程管理岗 | 综合管理岗 | 工程项目经理
116,港口航道工程施工技术管理能力,demand,0,0,3,3,,主持项目的技术管理；持制定项目技术管理工作计划；具备优秀的标书编制能力；组织编制和报审施工组织设计、重大危险源识别和控制方案、专项施工方案；参加工程验收，处理质... | 负责对生产部门进行技术交底和技术指导；与监理单位、建设单位的对接 | 港口航道工程、水工建筑物施工、给排水管网、预制装配施工、新能源工程施工管理；组织编写和审核项目施工组织设计、施工技术方案,港口航道方向 技术负责人（上海分公司） | 项目技术质量部主任/副主任 | 项目总工（技术负责人）
117,港口起重设备电气运维能力,demand,0,0,3,3,,负责港口起重设备（如岸边集装箱起重机、轮胎式龙门吊起重机等）电气日常检查、运行维护、技术改造等相关工作 | 负责港口起重设备（如岸边集装箱起重机、轮胎式龙门吊起重机等）电气日常检查、运行维护、技术改造等相关工作。,电气工程师
118,物流与供应链管理能力,supply,3,3,0,0,物流管理专业核心课程包括物流学、仓配管理与库存控制、供应链管理、物流系统规划与设计等，培养从事物流与供应链相关工作的能力。 | 掌握物流管理与物流工程的理论、知识和方法；掌握供应链管理的知识，能够进行供应链设计与管理。 | 课程包括物流与供应链管理、港口物流系统仿真、集装箱运输等。,,
119,物理海洋学分析能力,supply,3,3,0,0,物理海洋学前沿、海洋动力学、海气相互作用、近海区域海洋学等课程，以及物理海洋学实习 | 物理海洋学及实验、流体力学及实验、海洋要素计算与数值模拟、海洋热学等课程。 | 必修课：物理海洋学（4学分）；限选课：海洋水文气象、海洋动力模拟仿真；掌握物理海洋学基础知识并应用于解决实际问题,,
120,环境监测与分析能力,supply,3,3,0,0,培养目标要求具备环境监测技能，核心课程包括现代环境监测技术、环境分析化学、高等仪器分析等。 | 必修课程环境监测（64课时/4学分）、环境监测实验（48课时/1.5学分）；特色课程包括海水分析（32课时/2学分）、海水分析实验（16课时/0.5学分）等。 | 必修课有环境监测及实验，限选课有现代仪器分析等，培养环境监测、分析实验技能。,,
121,环境规划与管理能力,supply,3,3,0,0,理解环境保护和可持续发展理念，掌握主要环境规划类型的规划内容、编制程序和技术方法。 | 核心课程环境规划与管理（40课时/2.5学分）。 | 限选课程包括环境规划与管理，培养环境规划与管理能力。,,
122,现代信息技术应用能力,supply,3,3,0,0,掌握基本的现代信息技术，熟悉文献检索、资料查询的基本方法，拓展课程包括生物信息学、文献检索与科技论文写作。 | 毕业要求使用现代工具，课程包括计算机与互联网、程序设计基础、人工智能概论等，毕业生需能使用信息技术工具进行预测与模拟。 | 掌握生物信息学、人工智能和大数据基本知识和专业理论体系，能够利用多学科交叉信息技术工具对水产专业领域复杂科学问题进行分析、预测和模拟；课程包括Python程序设...,,
123,现代工具应用能力,supply,3,3,0,0,毕业要求5：掌握机械工程中常用现代工具的使用原理和方法，能够开发、选择与使用恰当的技术、资源、信息技术工具和现代工程工具。 | 毕业要求5：能够开发、选择与使用控制系统设计与仿真、计算机工程制图、电子电路设计与仿真等工具，包括对复杂工程问题的模拟与预测。 | 毕业要求5：能够针对轮机工程专业领域的复杂工程问题，开发、选择与使用恰当的技术、资源、现代工程工具和信息技术工具。,,
124,现代航海工具使用能力,supply,3,2,0,0,掌握航海技术中常用的现代工具工作原理和使用方法，能够选择、运用恰当的现代工程工具和信息技术工具，包括对复杂航海技术工程问题的预测与模拟。 | 能够针对复杂航海技术问题，选择与使用恰当的技术、资源、现代工程工具和信息技术工具（毕业要求5） | 毕业要求5：能够针对复杂航海技术问题，选择与使用恰当的技术、资源、现代工程工具和信息技术工具。,,
125,结构振动声学与水声学专业能力,demand,0,0,3,3,,具备结构振动声学、气动声学、水声学等声学相关专业知识。,声学研发工程师(J10022)
126,编程与声学软件应用能力,demand,0,0,3,3,,至少能熟练使用C/C++/Fortran等一种主流编程语言；会使用常见商用声学软件。,声学研发工程师(J10022)
127,航海气象与海洋环境分析能力,supply,3,2,0,0,核心课程包括航海气象学与海洋学，能够理解和评价航海技术工程领域复杂工程实践对环境、社会可持续发展的影响。 | 特色课程包括航海气象学与海洋学、海洋船舶气象定线。 | 航海气象学与海洋学（英）、海洋船舶气象定线等课程支撑,,
128,船体结构详细设计能力,demand,0,0,3,3,,参与船体结构的详细设计工作；具有一定的船体详细设计的能力 | 负责参与船体结构的详细设计工作；负责外来图纸的审核以及专业之间协调工作；负责生产设计协调 | 参与船体结构的详细设计工作；负责外来图纸的审核以及专业之间协调工作；负责生产设计协调,船体详细设计主管工程师
129,船舶与海洋工程实践能力,supply,3,3,0,0,注重学生实践环节的教育，要求学生完成必修实验课9学分，选修实验课2学分。参加军训、工程实践、行业实践、毕业设计（论文）等实习实践环节11学分。 | 实践环节包括金工实习、专业认识实习（船厂）、船舶实习（工程）、船舶创新实践、毕业实习及毕业论文。 | 主要实践环节包括工程训练、认识实习、生产实习、课程设计、毕业设计等，培养实践能力。,,
130,船舶与海洋工程研究能力,supply,3,3,0,0,能够基于科学原理并采用科学方法对工程中的典型结构单元、系统模块或工艺流程，选择研究路线，设计实验方案或抽取计算模型...对实验结果和数值结果进行分析和解释。 | 毕业生能力要求：能够基于科学原理并采用科学方法对船舶与海洋工程领域复杂工程问题进行研究，能够设计方案、完成实验、分析与解释数据 | 毕业要求4：能够基于科学原理并采用科学方法对复杂船舶与海洋工程问题进行研究，包括设计实验、分析与解释数据。,,
131,船舶与海洋工程设计能力,supply,3,3,0,0,能够进行船舶与海洋工程方案设计，并进一步进行性能分析、总体或结构系统的设计；设计/开发满足船舶与海洋工程特定需求的设计、结构、性能和建造工艺 | 掌握船舶与海洋工程结构物设计制造、专业技术服务等知识，核心课程包括船舶设计原理、船体强度与结构设计、船舶静力学等，毕业要求能够设计针对船海工程复杂工程问题的解决... | 培养目标要求能从事工程设计；核心课程包括船舶设计原理、船舶静力学、船舶操纵性与耐波性、船舶阻力与推进、智能船舶设计。,,
132,船舶与海洋工程问题分析能力,supply,3,3,0,0,能够运用相关科学原理，识别并判断复杂工程问题中的关键技术和技术难点...运用数学、自然科学和船舶与海洋工程学科的基本原理，借助文献研究，综合应用于分析复杂船舶与... | 毕业生能力要求：能够应用数学、自然科学和工程科学的基本原理，识别、表达并通过文献研究分析复杂船舶与海洋工程复杂工程问题 | 毕业要求2：能够应用数学、自然科学和工程科学的第一性原理，识别、表达并通过文献研究分析复杂船舶与海洋工程问题。,,
133,船舶内装设计能力,demand,0,0,3,3,,配合业务部门提供装修方案、效果图、施工工艺文件等；绘制布置图、提供BOM单及施工图纸；3年以上船舶内装设计经验 | 拟定内装材料清单，配合业务报价；负责内装图纸设计；负责工艺文件的编制；项目现场技术支持 | 懂一定船舶内装知识、内装材料等；会SPD软件者优先、会3DMAX、犀牛三维软件更好,船舶内装工程师 | 船舶内装设计岗 | 内装放样技术员
134,船舶柴油机与辅机操作维护能力,supply,3,2,0,0,核心课程包括船舶柴油机、船舶辅机，掌握其操作、维护与维修技能。 | 必修课程：船舶柴油机(1)（4学分，核心课程）、船舶辅机(1)（3学分，核心课程）、船舶辅机(2)（3学分，核心课程）；实践：船舶柴油机拆装、辅机综合训练。 | 通过船舶柴油机拆装、辅机综合训练、轮机综合实验等实践课程，培养拆装、维护与调试能力。,,
135,船舶水动力计算与型线设计能力,demand,0,0,3,3,,水动力计算方向要具备扎实的船舶水动力基础知识，能够独立进行船舶快速性预估以及船舶型线设计和优化 | 具备扎实的船舶水动力基础知识，能够独立进行船舶快速性预估以及船舶型线设计和优化；至少能熟练使用1款主流CFD软件 | 水动力计算方向要具备扎实的船舶水动力基础知识，能够独立进行船舶快速性预估以及船舶型线设计和优化；至少能熟练使用1款主流CFD软件，能熟练使用CAESES软件者优...,研发设计师（轮机） | 研发设计师（总体） | 研发设计师（结构规范计算）
136,船舶流体力学与性能分析能力,supply,3,3,0,0,课程包括船舶流体力学-I、II、船舶快速性、海洋结构物动力学等，培养学生在船舶流体性能、结构动力学等方面的分析与计算能力。 | 核心课程包括流体力学、船舶与海洋工程流体力学、船舶阻力与推进、操纵与耐波等，能够进行船舶航行性能分析 | 主干课程包括流体力学、船舶原理（一）、船舶原理（二），实践环节有船舶静力学课程设计、船舶阻力与推进课程设计。,,
137,船舶海工生产管理能力,demand,0,0,3,3,,组织安全、质量、人事、培训、行政、考核、劳务、劳防等日常工作；了解船舶、钢结构、海工产品、风电产品生产各阶段的特点 | 5年及以上风电/船舶海工/钢结构/机械行业生产管理经验；可组织现场生产管理，做好人机料法环的调配，及时跟踪生产进度，处理异常；熟悉现场5S管理、精益生产管理的工... | 具有造船、风电、海工同行业生产管理履历，熟悉切割、小组立、组立、总装、搭载、涂装、管装、舾装等各环节工作内容,生产部门主任 | 生产主管 | 生产管理经理
138,船舶电气工程能力,demand,0,0,3,3,,进行船舶电气方案设计：负责接线图、电气原理图，控制板原理图以及客户接口文件设计和编制；有自动化控制，船舶电气设备组装，调试，维护经验者优先。 | 熟悉电气绘图、PLC编程，熟悉船舶配电系统及变频器设计 | 参与船舶电气设备的调试、故障维修；进行船舶电气设备的质量检验及监督管理；负责船舶自动化升级改造。,电气工程师 | 电气技术员 | 船舶电气工程师
139,船舶电气工程设计能力,demand,0,0,3,3,,根据技术资料以及技术协议，负责相关项目电气元件选型，汇总材料清单；绘制项目电气原理图、接线图、布置图、外形图；船舶、海工行业经验优先。 | 具有SCADA软件的组态经验，如WinCC；有机械制图和电气制图的能力，掌握CAD、SolidWorks和e-plan等绘图软件的使用 | 负责电气、仪表控制柜图纸设计、校对工作；有机械制图和电气制图的能力，掌握CAD、SolidWorks和e-plan等绘图软件,电气设计工程师（绘图） | 船舶自动化电气项目工程师 | 电气自动化工程师
140,船舶电气生产设计能力,demand,0,0,3,3,,负责船舱各设计阶段的电气专业生产设计工作，电气三维建模、设备基座出图，现场施工放样问题处理 | 主要负责公务船、巡逻船、旅游船等类型船舶电气专业生产设计工作；电气三维建模、设备基座出图，现场施工放样问题处理 | 负责电气专业的三维放样工作（软件：Tribon）；绘制电气专业的电缆走向图；绘制电气舾装件制作图、安装图；编制电缆册,电气放样工程师 | 电气放样工程师（中山厂） | 船舶电气生产设计工程师
141,船舶管系生产设计能力,demand,0,0,3,3,,主要负责公务船、巡逻船、旅游船等类型船舶管系专业生产设计工作，包括并不限于管系材料统计；管系三维建模、设备基座出图，现场施工问题处理 | 主要负责公务船、巡逻船、旅游船等类型船舶管系专业生产设计工作，包括并不限于管系材料统计；管系三维建模、设备基座出图，现场施工问题处理。 | 负责轮机管子专业的三维放样(软件: Tribon)；绘制管架模块、管子的制作图安装图；管子专业的各类材料统计,轮机放样工程师（国际事业部） | 轮机放样工程师（中山厂） | 管系生产设计工程师
142,船舶结构与设备维护能力,supply,3,2,0,0,专业方向选修课程包括船舶结构与设备、轮机概论等，涉及船舶原理、船舶结构与设备及其实验。 | 课程：船舶结构与设备、船舶原理、轮机概论；实践：船舶实习。 | 课程包括船舶结构与设备、船舶原理、轮机概论等，要求了解船舶构造与设备。,,
143,船舶结构与货运管理能力,supply,3,3,0,0,船舶结构与设备（英）、船舶货运（英）、货物积载与系固、船舶原理（英）等课程支撑 | 掌握船舶构造与船舶稳性，船体与甲板设备保养要求及程序等基本知识；掌握货物装卸、积载、系固和运输保管的知识；能制定货物积载与系固方案并作业。课程：船舶结构与货运。 | 训练学生掌握值班驾驶员的基本技能和工作方法，具有航次货运量的确定、船舶稳性、吃水差和强度校核、杂货船积载、集装箱船积载等能力。,,
144,船舶结构规范计算能力,demand,0,0,3,3,,结构规范计算专业要熟练掌握Patran，Ansys等有限元计算软件及各船级社规范计算软件，能独立完成舱段有限元和局部强度计算工作 | 熟练掌握Patran，Ansys等有限元计算软件及各船级社规范计算软件，能独立完成舱段有限元和局部强度计算工作，能独立完成主船体结构规范计算 | 结构规范计算专业要熟练掌握Patran，Ansys等有限元计算软件及各船级社规范计算软件，能独立完成舱段有限元和局部强度计算工作，能独立完成主船体结构规范计算。,研发设计师（电气） | 研发设计师（总体） | 研发设计师（结构规范计算）
145,船舶网络安全解决方案设计能力,demand,0,0,3,3,,根据相关规范标准（主要是船级社规范），设计整船网络安全解决方案 | 根据相关规范标准（主要是船级社规范），设计整船网络安全解决方案；负责船舶网络安全项目，包括技术方案制作，项目相关图纸设计。,船舶网络安全工程师
146,船舶自动化系统集成能力,supply+demand,1,1,2,2,包含船舶自动化系统、船舶运动控制、船舶电力控制系统、船舶机舱控制系统等课程，培养船舶自动化领域的设计与集成能力。,熟悉船舶自动化系统（监测报警）、主机遥控系统、能量管理系统EMS；具有PLC编程经历，能熟练使用LD、ST、FBD、SFC等PLC编程语言 | 熟悉船舶自动化系统（监测报警）、主机遥控系统、能量管理系统EMS；具有PLC编程经历，掌握Modbus RTU/TCP和NMEA0183现场总线通讯协议,船舶自动化电气项目工程师
147,船舶设计软件应用能力,demand,0,0,3,3,,学习船舶设计软件，处理设计师交代的设计工作 | 熟练使用AM或者E3D；能进行软件的二次开发者优先,船舶设计实习生（轮机、电气） | 船舶方向助理设计师
148,船舶货运与积载能力,supply,3,2,0,0,课程有船舶货运，实践环节有货物积载与系固 | 必修课程包括船舶货运、货物积载与系固，以及特种货物运输、LNG船货物运输等限选课程。 | 通过船舶货运、货物积载与系固、特种货物运输、LNG船货物运输等课程，掌握货物运输与积载操作技能。,,
149,船舶轮机电气设计能力,demand,0,0,3,3,,"参与船舶设计（船艇轮机/电气专业）；协调现场安装工作,协助监督施工方完成安装工作 | 船舶与海洋工程、轮机工程、电气工程等相关专业，学习船舶设计软件，处理设计师交代的设计工作",船舶机电工程师 | 船舶设计实习生（轮机、电气）
150,船舶配载与客户服务能力,demand,0,0,3,3,,为客户进行船期宣导、报价、揽货、接舱、船舶配载等服务；跟进客户配载计划，积极应对异常事件并负责跟进处理，做好客户全程服务工作 | 为客户进行船期宣导、报价、揽货、接舱、船舶配载等服务；跟进客户配载计划,海运出口操作专员（徐州） | 操作/箱管/船务专员（惠州） | 海运操作专员（潍坊）
151,计算机与数据分析能力,supply,3,2,0,0,具有较好的信息技术基础，课程包括数据库应用、大学数学、数学实验等。 | 大学计算机基础、计算机程序设计基础（C语言）、Python数据分析、MATLAB语言与可视化仿真等课程支撑 | 限选：计算机程序设计基础（C）、Python数据分析、MATLAB语言与可视化仿真；课程：大学计算机基础。,,
152,轮机工程专业知识应用能力,supply,3,2,0,0,能够将数学、自然科学、轮机工程的基础和专业知识用于解决轮机工程领域的复杂工程问题。 | 毕业要求1：能够将数学、自然科学、工程基础和专业知识用于解决轮机工程领域的复杂工程问题。,,
153,轮机工程解决方案设计能力,supply,3,1,0,0,毕业要求3：能够设计针对轮机工程专业领域内的复杂工程问题的解决方案，设计满足特定需求的系统、单元或工艺流程，并能在设计环节中体现创新意识。 | 毕业要求3：能够设计针对轮机工程专业领域内的复杂工程问题的解决方案，设计满足特定需求的系统、单元或工艺流程，并体现创新意识。 | 毕业要求3：能够设计针对轮机工程专业领域内的复杂工程问题的解决方案，设计满足特定需求的系统、单元（部件）或工艺流程。,,
154,轮机工程项目管理能力,supply,3,2,0,0,理解并掌握轮机工程工程管理原理与经济决策方法，并能在多学科环境中应用。 | 毕业要求11：理解并掌握工程管理原理与经济决策方法，并能在多学科环境中应用。 | 理解并掌握工程管理原理与经济决策方法，并能在多学科环境中应用，掌握船舶建造运营和设备购置维修等全周期成本构成。,,
155,轮机维护与修理能力,supply,3,1,0,0,特色课程：轮机维护与修理；必修课程：轮机维护与修理（3学分），包括船舶柴油机、辅机等维修实践。 | 必修课程包括轮机维护与修理（英）；限选包括焊接修复技术、船舶坞修工程等。 | 课程包括轮机维护与修理、船舶柴油机拆装、辅机综合训练等，培养维护与修理能力。,,
156,轮机自动化与监控能力,supply,3,1,0,0,必修：现代轮机监控基础（3学分，核心课程）、轮机自动化（3学分，核心课程）；限选：轮机过程控制、自动控制理论。 | 必修课程包括轮机自动化（英）、现代轮机监控基础（英）；限选包括轮机过程控制、自动控制理论。 | 课程包括轮机自动化、现代轮机监控基础等，培养自动化与监控能力。,,
157,项目管理与团队协作能力,supply,3,3,0,0,掌握项目管理原理与经济决策方法，能在多学科团队中承担不同角色并有效沟通协作。 | 毕业生能力要求中包括项目管理能力、个人和团队角色、沟通能力，课程有项目管理，实践有工程实习。 | 培养目标要求具备项目管理能力、团队工作能力，课程有项目管理实验，毕业要求明确能够在多学科团队中承担角色。,,
158,FPSO上部模块管道详细设计能力,demand,0,0,2,2,,负责设备以及管道的布置规划，特别是FPSO上部模块的设备以及管道总体规划工作；能独立承担管道详设3D模型设计工作，特别是FPSO Topside模块三维模型设计... | 负责设备以及管道的布置规划，特别是FPSO上部模块的设备以及管道总体规划工作；能独立承担管道详设3D模型设计工作，特别是FPSO Topside模块三维模型设计...,船舶管系工程师 | 管道设计工程师
159,GMDSS通信操作能力,supply,2,2,0,0,专业核心课程包括海上无线电通信（GMDSS）设备及业务，实践环节有GMDSS设备操作和GMDSS英语综合训练 | 能力要求A7：能熟练操作GMDSS设备，并能根据需要进行遇险、紧急、安全和常规通信。模块化课程包括GMDSS英语听力与会话、设备操作、英语阅读、综合业务。,,
160,交通运输规划与管理能力,supply,2,2,0,0,研究方向：交通运输规划与管理 | 课程包括交通运输学、交通运输系统分析、交通规划概论、管理运筹学。毕业要求7：具有分析、设计、实施和维护交通管理系统的能力。,,
161,人工智能与机器学习应用能力,supply,2,2,0,0,设有机器学习、计算机视觉、人工智能Ⅱ、人工智能先导实践等课程及实验。 | 限选课程人工智能与机器学习，毕业要求涉及开发或选择适当技术、现代工程工具。,,
162,供应链管理能力,supply,2,2,0,0,课程包括供应链管理、采购与供应管理，掌握供应链管理理论与方法。 | 供应链管理(双语)、采购与供应管理、物流系统仿真、物流信息管理、运输管理、仓储管理、企业竞争模拟,,
163,信号与系统分析能力,supply,2,2,0,0,必修课程信号与系统(光电)及实验，限选数字信号处理及实验，培养信号分析处理能力。 | 限选课信号与系统分析，培养信号与系统的分析能力。,,
164,信息系统分析与设计能力,supply,2,1,0,0,开设信息系统分析与设计课程。 | 包含信息系统分析与设计课程，覆盖项目管理和系统开发流程。,,
165,先进通信网络技术研究能力,demand,0,0,2,2,,研究方向为通感一体化网络技术、6G通信技术,博士后科研工作站招聘(J11262)
166,创新与批判性思维能力,supply,2,2,0,0,创新及批判性思维能力 | 培养批判性思维和创新能力，通过毕业论文（设计）和创新创业计划课程实现。,,
167,创新与科研能力,supply,2,2,0,0,创新教育实践要求2学分，通过参加学科竞赛、SRDP、国创等项目，参与教师科研课题、创业实践等，培养创新与科研能力。 | 创新教育实践（64课时/2学分）；毕业论文（设计）（12周/12学分）；参与学科竞赛、SRDP等。,,
168,制冷与空调工程设计能力,supply,2,2,0,0,建筑环境与能源应用工程专业核心课程包括制冷原理与设备、空调工程、供热工程、通风工程等，培养在人工环境营造、能源应用领域的设计能力。 | 必修及限选课程：制冷原理与设备、制冷装置设计与自动化、人工环境与空气调节、船舶制冷与空调、低温技术及应用、热泵、吸收式制冷技术、换热器原理与设计，覆盖空调与制冷...,,
169,制冷低温工程能力,supply,2,2,0,0,专业方向选修课包括制冷原理与设备、制冷压缩机、制冷装置设计、低温技术等，培养制冷低温领域科学研究与设计能力。 | 核心课程包括制冷原理与设备、制冷压缩机、制冷装置设计、换热器原理与设计、食品冷藏工艺及冷链技术、低温技术等，培养制冷低温工程的设计、研发、运行管理能力。,,
170,动力机械振动与噪声控制能力,supply,2,2,0,0,选修课包含振动与噪声控制、动力机械振动理论及应用，培养减振降噪能力。 | 专业选修课包括振动与噪声控制、动力机械振动理论及应用，培养振动噪声分析控制能力。,,
171,动力机械设计分析能力,supply,2,1,0,0,特色课程包括动力机械结构设计、动力机械强度与振动、动力机械调节与控制，培养结构设计与分析能力。 | 必修专业课程：气体动力学、汽轮机原理、燃气轮机原理、内燃机原理、动力机械强度与振动、动力机械结构设计等，覆盖热力发动机方向核心课程，培养动力机械设计分析能力。,,
172,单船项目建造管理能力,demand,0,0,2,2,,五年以上单船项目建造管理工作经验；负责整个建造过程的计划协调、控制、落实,项目经理
